iter	Passed	Remaining
0	165	164887
1	167	83605
2	169	56386
3	171	42787
4	174	34725
5	176	29186
6	179	25427
7	181	22540
8	183	20257
9	185	18396
10	187	16874
11	189	15631
12	192	14592
13	194	13710
14	196	12887
15	197	12170
16	199	11543
17	201	10970
18	202	10468
19	204	10017
20	206	9613
21	207	9241
22	209	8893
23	210	8578
24	212	8294
25	214	8027
26	215	7767
27	217	7535
28	218	7306
29	219	7104
30	221	6921
31	223	6749
32	224	6582
33	225	6417
34	227	6261
35	228	6120
36	229	5977
37	230	5839
38	231	5712
39	232	5591
40	234	5473
41	236	5397
42	239	5335
43	241	5257
44	243	5177
45	246	5103
46	248	5032
47	250	4965
48	252	4905
49	255	4847
50	257	4788
51	259	4728
52	261	4666
53	263	4609
54	264	4548
55	266	4495
56	268	4443
57	270	4386
58	271	4332
59	272	4276
60	274	4226
61	275	4174
62	277	4122
63	278	4071
64	279	4021
65	280	3976
66	282	3935
67	283	3887
68	284	3841
69	285	3795
70	286	3750
71	287	3707
72	288	3664
73	289	3624
74	291	3589
75	291	3549
76	292	3511
77	293	3472
78	294	3436
79	295	3402
80	297	3375
81	298	3345
82	299	3307
83	300	3277
84	301	3249
85	303	3228
86	305	3202
87	306	3173
88	307	3146
89	308	3118
90	309	3091
91	310	3068
92	312	3044
93	313	3017
94	314	2999
95	316	2976
96	317	2954
97	318	2932
98	319	2908
99	320	2888
100	321	2864
101	322	2841
102	323	2817
103	324	2796
104	325	2777
105	327	2758
106	328	2738
107	329	2718
108	329	2697
109	330	2677
110	331	2658
111	332	2638
112	334	2623
113	335	2604
114	336	2586
115	336	2567
116	337	2547
117	338	2529
118	339	2512
119	340	2495
120	341	2480
121	342	2465
122	343	2448
123	344	2433
124	345	2417
125	346	2404
126	347	2387
127	348	2372
128	349	2357
129	350	2343
130	350	2327
131	351	2313
132	352	2299
133	353	2287
134	354	2273
135	355	2261
136	357	2250
137	358	2237
138	359	2227
139	360	2214
140	361	2202
141	362	2188
142	363	2175
143	363	2163
144	364	2150
145	366	2141
146	366	2129
147	367	2116
148	368	2106
149	369	2094
150	370	2084
151	372	2076
152	373	2066
153	374	2056
154	375	2044
155	376	2034
156	377	2026
157	378	2016
158	379	2006
159	380	1997
160	381	1986
161	382	1976
162	382	1966
163	384	1958
164	384	1947
165	385	1938
166	387	1931
167	388	1922
168	389	1914
169	390	1908
170	392	1902
171	393	1893
172	394	1886
173	395	1877
174	396	1870
175	397	1862
176	398	1853
177	399	1844
178	400	1835
179	401	1828
180	403	1823
181	404	1816
182	405	1809
183	406	1801
184	407	1793
185	408	1787
186	409	1780
187	410	1773
188	411	1766
189	412	1757
190	413	1749
191	413	1741
192	414	1733
193	415	1727
194	417	1724
195	418	1717
196	419	1710
197	420	1703
198	421	1695
199	421	1687
200	422	1680
201	423	1674
202	424	1668
203	425	1661
204	427	1657
205	428	1650
206	428	1643
207	429	1636
208	431	1632
209	432	1628
210	434	1624
211	435	1618
212	436	1612
213	437	1605
214	437	1599
215	438	1592
216	440	1588
217	440	1581
218	441	1575
219	442	1569
220	443	1563
221	444	1557
222	445	1552
223	447	1549
224	448	1545
225	449	1540
226	450	1534
227	451	1528
228	452	1523
229	453	1517
230	454	1512
231	455	1507
232	456	1502
233	457	1496
234	458	1491
235	459	1486
236	461	1485
237	463	1483
238	464	1478
239	465	1473
240	466	1468
241	467	1462
242	467	1457
243	469	1453
244	470	1448
245	471	1444
246	471	1438
247	472	1432
248	473	1427
249	476	1428
250	477	1425
251	478	1421
252	479	1416
253	480	1411
254	481	1406
255	482	1401
256	483	1397
257	484	1392
258	485	1387
259	486	1383
260	487	1379
261	488	1374
262	488	1370
263	491	1368
264	492	1365
265	493	1361
266	494	1356
267	495	1352
268	495	1347
269	496	1342
270	497	1338
271	498	1334
272	499	1329
273	500	1324
274	500	1319
275	501	1314
276	501	1309
277	502	1304
278	502	1299
279	504	1297
280	506	1295
281	507	1293
282	508	1289
283	509	1284
284	510	1280
285	512	1278
286	513	1275
287	514	1271
288	515	1267
289	516	1263
290	516	1259
291	517	1254
292	519	1252
293	520	1250
294	522	1248
295	523	1244
296	524	1240
297	525	1236
298	525	1232
299	526	1229
300	527	1225
301	528	1222
302	529	1218
303	530	1214
304	531	1210
305	532	1206
306	533	1204
307	535	1203
308	537	1201
309	538	1197
310	538	1193
311	539	1189
312	540	1186
313	541	1183
314	542	1180
315	543	1176
316	544	1172
317	544	1168
318	545	1163
319	545	1159
320	546	1155
321	547	1152
322	549	1151
323	550	1148
324	552	1146
325	553	1143
326	554	1140
327	555	1137
328	555	1133
329	556	1130
330	557	1126
331	558	1122
332	558	1119
333	559	1116
334	560	1112
335	560	1108
336	561	1104
337	562	1100
338	564	1099
339	566	1100
340	570	1102
341	575	1106
342	577	1106
343	580	1107
344	583	1106
345	585	1106
346	588	1108
347	591	1108
348	593	1106
349	595	1105
350	596	1103
351	598	1101
352	599	1099
353	603	1100
354	605	1099
355	606	1097
356	608	1095
357	609	1092
358	610	1090
359	611	1087
360	613	1085
361	614	1083
362	615	1080
363	617	1079
364	619	1077
365	620	1074
366	621	1071
367	622	1069
368	623	1066
369	624	1063
370	625	1060
